	SentenceId	Clause Text	Codes	ExperimentValues	Paragraph	Headings	FloatingBox?	Discourse Type	Offset_Begin	Offset_End	fig_spans	
0	s1	AMP-activated protein kinase mediates VEGF-stimulated endothelial NO production	[]		-		FALSE	fact	177	256		
1	s2	Vascular endothelial growth factor ( VEGF ) is an important regulator of endothelial cell function .	[]		p3		FALSE	fact	845	942		
2	s3	"VEGF stimulates NO production , proposed to be a result of phosphorylation and activation of endothelial NO synthase ( eNOS ) at Ser1177 ."	[]		p3		FALSE	hypothesis	943	1077		
3	s4	Phosphorylation of eNOS at this site also occurs after activation of AMP-activated protein kinase ( AMPK ) in cultured endothelial cells .	[]		p3		FALSE	hypothesis	1078	1213		
4	s5	We therefore determined	[]		p3		FALSE	goal	1214	1237		
5	s5	whether AMPK mediates VEGF-stimulated NO synthesis in endothelial cells .	[]		p3		FALSE	goal	1238	1310		
6	s6	"VEGF caused a rapid , dose-dependent stimulation of AMPK activity , with a concomitant increase in phosphorylation of eNOS at Ser1177 ."	[]		p3		FALSE	result	1311	1443		
7	s7	Infection of endothelial cells with an adenovirus expressing a dominant negative mutant AMPK partially inhibited both VEGF-stimulated eNOS Ser1177 phosphorylation and NO production .	[]		p3		FALSE	result	1444	1625		
8	s8	"VEGF-stimulated AMPK activity was completely inhibited by the Ca2+/calmodulin-dependent protein kinase kinase inhibitor , STO-609 ."	[]		p3		FALSE	result	1626	1755		
9	s9	Stimulation of AMPK via Ca2+/calmodulin-dependent protein kinase kinase represents	[]		p3		FALSE	result	1756	1838		
10	s9	a novel signalling mechanism utilised by VEGF in endothelial cells that contributes to eNOS phosphorylation and NO production .	[]		p3		FALSE	implication	1839	1965		
11	s10	"VEGF is a key regulator of angiogenesis , stimulating differentiation , survival , migration , proliferation , and vascular permeability of endothelial cells [ 1,2 ] ."	[exLink]		p5		FALSE	fact	2064	2223		
12	s11	"VEGF binds to VEGF receptor tyrosine kinases ,"	[]		p5		FALSE	fact	2224	2269		
13	s11	"which have been demonstrated to stimulate a diverse array of signalling pathways , including phospholipase C ( PLC ) -gamma , phosphatidylinositol 3'-kinase ( PI3K ) , and Src [ 1,2 ] ."	[exLink]		p5		FALSE	fact	2270	2444		
14	s12	"VEGF rapidly stimulates endothelial NO synthesis [ 3-5 ] , proposed to be the result of PI3K-mediated activation of protein kinase B ( PKB , also known as Akt ) ,"	[exLink]		p6		FALSE	fact	2445	2600		
15	s12	"which directly phosphorylates and activates eNOS at Ser1177 [ 4,6 ] ."	[exLink]		p6		FALSE	fact	2601	2667		
